GlobalId,IfcType,Name,Material,QuantityName,QuantityValue,MatchedUnitCost,CostUnit,CalculatedElementCost,CostBasis
2Mx9$tysPDB9LvSC7Uga$h,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,777.999951864,50.0,m,38900.0,Length (778.00 m) * UnitCost (50.0)
1aD6snfpn0GQ$ToC45d1nS,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,777.999951864,50.0,m,38900.0,Length (778.00 m) * UnitCost (50.0)
3U8ZfIcGDBM8M360rr2jhL,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,777.999951864,90.0,m,70020.0,Length (778.00 m) * UnitCost (90.0)
1NNiwqMg95jgPIDXLCuasC,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,777.999951864,90.0,m,70020.0,Length (778.00 m) * UnitCost (90.0)
2YRW0FRcH568BvC0n1uc$J,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,1034.00019206,90.0,m,93060.02,Length (1034.00 m) * UnitCost (90.0)
2ymUTayl529wjp97XSqlkb,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,577.772326722,90.0,m,51999.51,Length (577.77 m) * UnitCost (90.0)
1r5cBiWc5CL9A0KNGbzrzM,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,143.774501239,90.0,m,12939.71,Length (143.77 m) * UnitCost (90.0)
3XUEQ1GvT3jA_Nbj5X$65Y,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,1063.08286672,90.0,m,95677.46,Length (1063.08 m) * UnitCost (90.0)
1SoaRgKuD02hP0vTyWlgDU,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,577.773489944,90.0,m,51999.61,Length (577.77 m) * UnitCost (90.0)
2GZxODkNP6YPny_4TNjMbw,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,1063.08286672,90.0,m,95677.46,Length (1063.08 m) * UnitCost (90.0)
10PY7tTYf3YAoiKKQMe9Wi,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,143.774516815,90.0,m,12939.71,Length (143.77 m) * UnitCost (90.0)
0emZXkn5TF2PHGNfqrnDSC,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,1000.0,50.0,m,50000.0,Length (1000.00 m) * UnitCost (50.0)
22BCGZUH10WuKzQoQbSwhw,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,3050.00004621,90.0,m,274500.0,Length (3050.00 m) * UnitCost (90.0)
3JeDxuVZX278wZ3E$qtYHH,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,840.000046215,50.0,m,42000.0,Length (840.00 m) * UnitCost (50.0)
3DYtDpqDX9rhVnEVsp_6RQ,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,1210.0,50.0,m,60500.0,Length (1210.00 m) * UnitCost (50.0)
3_FNYG$Or15vzG_WtX1Dra,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,1210.0,50.0,m,60500.0,Length (1210.00 m) * UnitCost (50.0)
2cQ8IsS3f1kgXeLJHb2tT5,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,1000.0,50.0,m,50000.0,Length (1000.00 m) * UnitCost (50.0)
3h7$q77HL7y9ib6jdqEGaU,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,839.999953882,50.0,m,42000.0,Length (840.00 m) * UnitCost (50.0)
3AzhV62db1MfXJq1r$2nl4,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,3049.99995388,90.0,m,274500.0,Length (3050.00 m) * UnitCost (90.0)
20qiUKbuDCo9jUCIK_Aq9A,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,989.999984514,50.0,m,49500.0,Length (990.00 m) * UnitCost (50.0)
0AvuKvwsjECuqQLpwsHUiy,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,3039.99984499,90.0,m,273599.99,Length (3040.00 m) * UnitCost (90.0)
3hnrJo__H1th0M6JbxK0Qr,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,839.999860473,50.0,m,41999.99,Length (840.00 m) * UnitCost (50.0)
