GlobalId,IfcType,Name,Tag,Material,QuantityName,QuantityValue
1mqSCWO5bBR84dhZ5SEDMu,IfcWall,buitenblad,70D1C320-6059-4B6C-8127-AE315C38D5B8,03 mw-baksteen - bruin (liggend),Length,144.060707481
0tyKkyPHXFkvhRpZpx0R5f,IfcWall,buitenblad,37F14BBC-6518-4FBB-9ADB-CE3CFB01B169,03 mw-baksteen - bruin (liggend),Length,143.774501239
3hGtOZh1X55h2EX09_BAZ8,IfcWall,buitenblad,EB437623-AC18-4516-B08E-84027E2CA8C8,03 mw-baksteen - bruin (liggend),Length,141.022207372
2_Spc3OFz32f9Immwt4_7U,IfcWall,buitenblad,BE733983-60FF-430A-9252-C30EB713E1DE,03 mw-baksteen - bruin (liggend),Length,777.999951864
1_BHYRe$fDXBhfHsjJoUsZ,IfcWall,buitenblad,7E2D189B-A3FA-4D84-BAE9-476B53C9EDA3,03 mw-baksteen - bruin (liggend),Length,1034.00019095
20cjtlT5j2yRhg3KCrPNR1,IfcWall,buitenblad,809ADDEF-745B-42F1-BAEA-0D43356576C1,03 mw-baksteen - bruin (liggend),Length,777.999951864
1hPB35rErB1eLTnNNR9Txn,IfcWall,buitenblad,6B64B0C5-D4ED-4B06-855D-C575DB25DEF1,03 mw-baksteen - bruin (liggend),Length,577.772326722
09VD$Lqi93x9JCZ1tfrTrL,IfcWall,buitenblad,097CDFD5-D2C2-43EC-94CC-8C1DE9D5DD55,03 mw-baksteen - bruin (liggend),Length,144.060707481
2MtbYSfxf8XPurPixjtvdV,IfcWall,buitenblad,96DE589C-A7BA-4885-9E35-66CEEDDF99DF,03 mw-baksteen - bruin (liggend),Length,144.767578384
1hBjzJQ_r4MQi5$dPip1Ju,IfcWall,buitenblad,6B2EDF53-6BED-4459-AB05-FE766CCC14F8,03 mw-baksteen - bruin (liggend),Length,141.022207372
2Mx9$tysPDB9LvSC7Uga$h,IfcWall,buitenblad,96EC9FF7-F366-4D2C-9579-70C1DEAA4FEB,03 mw-baksteen - bruin (liggend),Length,777.999951864
1aD6snfpn0GQ$ToC45d1nS,IfcWall,buitenblad,64346DB1-A73C-4041-AFDD-C8C1059C1C5C,03 mw-baksteen - bruin (liggend),Length,777.999951864
3U8ZfIcGDBM8M360rr2jhL,IfcWall,buitenblad,DE223A52-9903-4B58-8583-180D750ADAD5,03 mw-baksteen - bruin (staand),Length,777.999951864
1NNiwqMg95jgPIDXLCuasC,IfcWall,buitenblad,575ECEB4-5AA2-45B6-A652-36154CE24D8C,03 mw-baksteen - bruin (staand),Length,777.999951864
2YRW0FRcH568BvC0n1uc$J,IfcWall,buitenblad,A26E000F-6E64-4518-82F9-300C41E26FD3,03 mw-baksteen - bruin (staand),Length,1034.00019206
2ymUTayl529wjp97XSqlkb,IfcWall,buitenblad,BCC1E764-F2F1-4227-AB73-24785CD2FBA5,03 mw-baksteen - bruin (staand),Length,577.772326722
1r5cBiWc5CL9A0KNGbzrzM,IfcWall,buitenblad,751662EC-8261-4C54-9280-517425F75F56,03 mw-baksteen - bruin (staand),Length,143.774501239
3XUEQ1GvT3jA_Nbj5X$65Y,IfcWall,buitenblad,E178E681-4397-43B4-AF97-96D161FC6162,03 mw-baksteen - bruin (staand),Length,1063.08286672
1SoaRgKuD02hP0vTyWlgDU,IfcWall,buitenblad,5CCA46EA-5383-400A-B640-E5DF20BEA35E,03 mw-baksteen - bruin (staand),Length,577.773489944
2GZxODkNP6YPny_4TNjMbw,IfcWall,buitenblad,908FB60D-B976-4689-9C7C-F84757B5697A,03 mw-baksteen - bruin (staand),Length,1063.08286672
10PY7tTYf3YAoiKKQMe9Wi,IfcWall,buitenblad,406621F7-762A-4388-ACAC-514696A0982C,03 mw-baksteen - bruin (staand),Length,143.774516815
0emZXkn5TF2PHGNfqrnDSC,IfcWall,buitenblad,28C2386E-C457-4F09-9450-5E9D35C4D70C,03 mw-baksteen - bruin (liggend),Length,1000.0
22BCGZUH10WuKzQoQbSwhw,IfcWall,buitenblad,822CC423-7910-4083-853D-6B26A573AAFA,03 mw-baksteen - bruin (staand),Length,3050.00004621
3JeDxuVZX278wZ3E$qtYHH,IfcWall,buitenblad,D3A0DEF8-7E38-421C-8EA3-0CEFF4DE2451,03 mw-baksteen - bruin (liggend),Length,840.000046215
3DYtDpqDX9rhVnEVsp_6RQ,IfcWall,buitenblad,CD8B7373-D0D8-49D6-B7F1-39FDB3F866DA,03 mw-baksteen - bruin (liggend),Length,1210.0
3_FNYG$Or15vzG_WtX1Dra,IfcWall,buitenblad,FE3D7890-FD8D-4117-9F50-FA0DE104DD64,03 mw-baksteen - bruin (liggend),Length,1210.0
